finance_event_date,posting_number,ozon_sku,internal_sku,buyer_paid_price_rub,seller_base_price_rub,ozon_bonus_rub,ozon_coinvestment_rub,observed_buyer_discount_rub,observed_buyer_discount_pct,invariant_check_rub,spp_semantics
2026-08-08,41560617-0505-1,3892223191,EVT-SET-CHERRY-AMBER,450.48,1165.0,710.02,4.5,714.52,61.33,0.0,NOT_PROVEN
2026-08-08,41313800-0429-14,1991772098,EVT-FS-MOIST-30,313.33,915.0,598.54,3.13,601.67,65.76,0.0,NOT_PROVEN
2026-08-09,60529449-0144-1,3528293526,EVT-FT-MOIST-150,325.71,950.0,621.03,3.26,624.29,65.71,0.0,NOT_PROVEN
2026-08-09,71123615-0099-4,1997079254,EVT-HC-HAND-300,280.95,819.0,535.24,2.81,538.05,65.7,0.0,NOT_PROVEN
2026-08-09,68059511-0042-1,1991772098,EVT-FS-MOIST-30,328.57,959.0,627.14,3.29,630.43,65.74,0.0,NOT_PROVEN
2026-08-09,0223481492-0186-1,3732641694,EVT-SET-SER-CREAM-ACNE,646.67,1080.0,426.86,6.47,433.33,40.12,0.0,NOT_PROVEN
2026-08-09,76317668-0099-5,3892518031,EVT-HC-CHERRY-300,330.48,965.0,631.22,3.3,634.52,65.75,0.0,NOT_PROVEN
2026-08-09,76317668-0099-4,3892518031,EVT-HC-CHERRY-300,330.48,965.0,631.22,3.3,634.52,65.75,0.0,NOT_PROVEN
2026-08-10,39617856-0320-1,3530427102,EVT-FT-ACNE-150,324.63,950.0,622.12,3.25,625.37,65.83,0.0,NOT_PROVEN
2026-08-10,51966204-0201-1,1997079254,EVT-HC-HAND-300,280.95,819.0,535.24,2.81,538.05,65.7,0.0,NOT_PROVEN
2026-08-10,47143487-1076-1,1997079254,EVT-HC-HAND-300,280.95,819.0,535.24,2.81,538.05,65.7,0.0,NOT_PROVEN
2026-08-10,0134082945-0082-5,3733452761,EVT-SET-4PC-ACNE,1327.62,2900.0,1559.1,13.28,1572.38,54.22,0.0,NOT_PROVEN
2026-08-10,0121467160-0295-1,3930712640,EVT-HC-AMBER-300,29.04,905.0,875.96,0.0,875.96,96.79,0.0,NOT_PROVEN
2026-08-10,0165380790-0162-1,3735674506,EVT-SET-TON-SER-CREAM-ACNE,878.1,2100.0,1213.12,8.78,1221.9,58.19,0.0,NOT_PROVEN
2026-08-10,48828969-0054-2,1994674912,EVT-FS-ACNE-30,297.39,842.0,541.64,2.97,544.61,64.68,0.0,NOT_PROVEN
2026-08-10,0152518815-0117-1,1994674912,EVT-FS-ACNE-30,320.95,842.0,517.84,3.21,521.05,61.88,0.0,NOT_PROVEN
2026-08-10,0124128699-0064-3,3530427102,EVT-FT-ACNE-150,342.0,950.0,604.58,3.42,608.0,64.0,0.0,NOT_PROVEN
2026-08-11,42884911-2242-1,3528293526,EVT-FT-MOIST-150,321.13,950.0,625.66,3.21,628.87,66.2,0.0,NOT_PROVEN
2026-08-11,42496622-0049-1,1991772098,EVT-FS-MOIST-30,357.14,953.0,592.29,3.57,595.86,62.52,0.0,NOT_PROVEN
2026-08-11,58627763-0668-1,3892345516,EVT-SET-HAND-CHERRY,550.0,1161.0,605.5,5.5,611.0,52.63,0.0,NOT_PROVEN
2026-08-11,19006347-0184-1,3528293526,EVT-FT-MOIST-150,324.94,950.0,621.81,3.25,625.06,65.8,0.0,NOT_PROVEN
2026-08-11,0109172114-0223-1,3528293526,EVT-FT-MOIST-150,325.71,950.0,621.03,3.26,624.29,65.71,0.0,NOT_PROVEN
