created_date,posting_number,order_id,order_number,status,substatus,ozon_sku,offer_id,internal_sku,quantity,price,old_price,total_discount_value,commission_amount,payout,is_cancelled,cancel_reason_id,source_raw_file
2026-07-08,0185211863-0348-21,37475737127,0185211863-0348,delivered,posting_received,2974977988,438775617,EVT-FC-ACNE-50,1,990.0,2906.75,1916.75,,584.1,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-08,60898024-0103-1,37310956888,60898024-0103,delivered,posting_received,1991772098,305101272,EVT-FS-MOIST-30,1,896.0,2827.38,1931.3799999999999,,528.64,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-09,0123634155-0195-2,37121680491,0123634155-0195,delivered,posting_received,1991772098,305101272,EVT-FS-MOIST-30,1,853.0,3533.62,2680.62,,503.27,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-09,0135561752-0187-7,36647780536,0135561752-0187,delivered,posting_received,2974977988,438775617,EVT-FC-ACNE-50,1,980.0,2898.71,1918.71,,578.2,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-13,0212099013-0655-1,37371648133,0212099013-0655,delivered,posting_received,1997079254,252442517,EVT-HC-HAND-300,1,650.0,1904.4699999999998,1254.4699999999998,,383.5,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-15,0141467301-0288-4,36906857845,0141467301-0288,delivered,posting_received,3530427102,535581675,EVT-FT-ACNE-150,1,1109.0,3362.0,2253.0,,654.31,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-15,0124422399-0338-1,37061792303,0124422399-0338,delivered,posting_received,1997079254,252442517,EVT-HC-HAND-300,1,586.0,1747.7499999999998,1161.7499999999998,,345.74,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-16,0203673302-0040-1,36918193798,0203673302-0040,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,2841.0,8421.130000000001,5580.13,,1676.19,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-16,04762031-0348-1,37169412479,04762031-0348,delivered,posting_received,1997079254,252442517,EVT-HC-HAND-300,1,586.0,1912.0,1326.0,,345.74,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-16,13616023-0409-8,37277290919,13616023-0409,delivered,posting_received,3543342130,535580776,EVT-EP-ENZYME-75,1,1123.0,3686.95,2563.95,,662.57,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-17,62872616-0370-1,37134767208,62872616-0370,delivered,posting_received,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,2045.0,6260.71,4215.71,,1206.55,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-17,34484499-0408-1,37524934371,34484499-0408,cancelled,posting_canceled,1997079254,252442517,EVT-HC-HAND-300,1,586.0,1939.8500000000001,1353.8500000000001,,0.0,yes,506,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-18,0141595182-0290-5,37352274654,0141595182-0290,delivered,posting_received,3543342130,535580776,EVT-EP-ENZYME-75,1,1123.0,3741.2400000000002,2618.2400000000002,,662.57,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-18,0141595182-0290-7,37352274654,0141595182-0290,delivered,posting_received,2974977988,438775617,EVT-FC-ACNE-50,1,1021.0,3304.86,2283.86,,602.39,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-18,0222049648-0192-2,37101435488,0222049648-0192,delivered,posting_received,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,2045.0,6455.0,4410.0,,1206.55,no,,raw/backfill_v1/seller/posting_fbo_202607.json
