date,campaign_id,campaign_group,campaign_state_current,expense_rub,bonus_expense_rub,subscription_expense_rub,impressions,clicks,orders,revenue,ctr,cpc,drr_api_if_present,source_raw_file
2026-06-24,14503166,SEARCH_PROMO,RUNNING,243.0,0.0,0.0,0,0,1,2430.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260624.csv
2026-06-24,27251978,EVETIS_CPC_LEGACY,ARCHIVED,109.79,0.0,0.0,872,30,0,0.0,3.4404,3.6597,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260624.csv
2026-06-24,27307535,EVETIS_CPC_LEGACY,ARCHIVED,110.94,0.0,0.0,448,13,0,0.0,2.9018,8.5338,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260624.csv
2026-06-24,27307598,EVETIS_CPC_LEGACY,ARCHIVED,57.14,0.0,0.0,493,12,0,0.0,2.4341,4.7617,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260624.csv
2026-06-24,27443733,EVETIS_CPC_LEGACY,ARCHIVED,317.87,0.0,0.0,1649,45,1,2430.0,2.7289,7.0638,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260624.csv
2026-06-25,27251978,EVETIS_CPC_LEGACY,ARCHIVED,131.49,0.0,0.0,881,38,0,0.0,4.3133,3.4603,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260625.csv
2026-06-25,27307535,EVETIS_CPC_LEGACY,ARCHIVED,61.09,0.0,0.0,460,8,0,0.0,1.7391,7.6363,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260625.csv
2026-06-25,27307598,EVETIS_CPC_LEGACY,ARCHIVED,74.59,0.0,0.0,303,13,0,0.0,4.2904,5.7377,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260625.csv
2026-06-25,27443733,EVETIS_CPC_LEGACY,ARCHIVED,244.83,0.0,0.0,1354,37,0,0.0,2.7326,6.617,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260625.csv
2026-06-26,27251978,EVETIS_CPC_LEGACY,ARCHIVED,57.67,0.0,0.0,584,16,2,2487.0,2.7397,3.6044,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260626.csv
2026-06-26,27307535,EVETIS_CPC_LEGACY,ARCHIVED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,376,0,0,0.0,0.0,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-26,27307598,EVETIS_CPC_LEGACY,ARCHIVED,57.28,0.0,0.0,251,12,0,0.0,4.7809,4.7733,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260626.csv
2026-06-26,27443733,EVETIS_CPC_LEGACY,ARCHIVED,122.66,0.0,0.0,1031,23,0,0.0,2.2308,5.333,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260626.csv
2026-06-27,27251978,EVETIS_CPC_LEGACY,ARCHIVED,69.01,0.0,0.0,457,18,0,0.0,3.9387,3.8339,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260627.csv
2026-06-27,27307535,EVETIS_CPC_LEGACY,ARCHIVED,50.5,0.0,0.0,371,6,0,0.0,1.6173,8.4167,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260627.csv
2026-06-27,27307598,EVETIS_CPC_LEGACY,ARCHIVED,65.3,0.0,0.0,266,13,0,0.0,4.8872,5.0231,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260627.csv
2026-06-27,27443733,EVETIS_CPC_LEGACY,ARCHIVED,290.86,0.0,0.0,1230,39,0,0.0,3.1707,7.4579,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260627.csv
2026-06-28,27251978,EVETIS_CPC_LEGACY,ARCHIVED,60.59,0.0,0.0,560,18,0,0.0,3.2143,3.3661,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260628.csv
2026-06-28,27307535,EVETIS_CPC_LEGACY,ARCHIVED,69.92,0.0,0.0,538,10,0,0.0,1.8587,6.992,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260628.csv
2026-06-28,27307598,EVETIS_CPC_LEGACY,ARCHIVED,64.19,0.0,0.0,472,14,0,0.0,2.9661,4.585,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260628.csv
2026-06-28,27443733,EVETIS_CPC_LEGACY,ARCHIVED,246.56,0.0,0.0,2076,41,0,0.0,1.975,6.0137,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260628.csv
2026-06-29,27251978,EVETIS_CPC_LEGACY,ARCHIVED,90.9,0.0,0.0,654,22,1,823.0,3.3639,4.1318,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260629.csv
